Zip Code,Building type (service class),Consumption (therms),Utility/Data Source,Latitude,Longitude
11201,Small residential,3575205,National Grid,40.69467826,-73.98992087
10023,Commercial,1543305,ConEd,40.77453614,-73.97994336
11367,Large residential,1724999,ConEd,40.73032309,-73.82610631
10038,Residential,24457,ConEd,40.70935929,-74.00307186
10307,Commercial,359769,National Grid,40.50800453,-74.24211428
11422,Small residential,7114276,National Grid,40.66161349,-73.73605173
10003,Commercial,5073198,ConEd,40.73194395,-73.98887215
10033,Commercial,1599674,ConEd,40.85621993,-73.945859
11426,Residential,2508430,ConEd,40.73704138,-73.724157
10065,Commercial,13811460,ConEd,40.76430121,-73.96303994
10128,Commercial,8661160,ConEd,40.78177,-73.95062815
10037,Residential,611811,ConEd,40.81329776,-73.93728253
10301,Small residential,7412235,National Grid,40.62678551,-74.09611291
10031,Commercial,3819653,ConEd,40.82495421,-73.95012444
10310,Small residential,5137096,National Grid,40.632789,-74.11645861
10011,Commercial,9456458,ConEd,40.74471527,-74.0046
10461,Commercial,3657783,ConEd,40.84696059,-73.84063284
10027,Residential,2542279,ConEd,40.81154956,-73.95290034
10453,Large residential,1136648,ConEd,40.85278684,-73.91342678
11252,Commercial,38852,National Grid,40.60793409,-74.02694267
10030,Residential,159864,ConEd,40.81843518,-73.9427653
11213,Institutional,889348,National Grid,40.67122517,-73.93644337
11368,Commercial,978,ConEd,40.74967822,-73.85304069
10463,Commercial,3561,ConEd,40.88187196,-73.91120748
10470,Residential,236066,ConEd,40.90012797,-73.87122775
10024,Residential,3988908,ConEd,40.78362557,-73.966539
10021,Commercial,6581,ConEd,40.76920533,-73.95918394
11203,Institutional,7869164,National Grid,40.6497216,-73.93427609
11414,Commercial,1151068,National Grid,40.65817023,-73.84496264
10452,Commercial,1823135,ConEd,40.83772426,-73.92333221
11428,Small residential,3960945,National Grid,40.72139696,-73.7419373
11230,Small residential,11665262,National Grid,40.62192951,-73.96551106
10026,Commercial,1153347,ConEd,40.80305812,-73.95334278
11360,Residential,2617396,ConEd,40.78070133,-73.78226734
10013,Residential,228453,ConEd,40.72124219,-74.008889
11435,Small residential,6630439,National Grid,40.70119265,-73.80979666
10030,Residential,2016283,ConEd,40.81843518,-73.9427653
10016,Commercial,7176247,ConEd,40.74524297,-73.97823299
11004,Commercial,280325,ConEd,40.74323783,-73.712015
10464,Residential,1094782,ConEd,40.8757091,-73.81229725
10461,Residential,587242,ConEd,40.84696059,-73.84063284
11355,Residential,503099,ConEd,40.7512998,-73.82147855
10308,Small residential,6910394,National Grid,40.5529353,-74.15130276
10040,Commercial,717611,ConEd,40.85809553,-73.92925549
11693,Large residential,2505401,National Grid,40.6183036,-73.82495532
11234,Institutional,1812535,National Grid,40.61636867,-73.92773225
10075,Commercial,3374658,ConEd,40.77293949,-73.95609016
11358,Residential,5983515,ConEd,40.76035097,-73.79632646
11430,Industrial,563052,National Grid,40.64722933,-73.78637495
10034,Large residential,281557,ConEd,40.87061711,-73.92422326
10457,Commercial,3139507,ConEd,40.84579837,-73.89832419
10009,Residential,2516364,ConEd,40.72664936,-73.97911149
11415,Commercial,586484,National Grid,40.70828608,-73.82855612
11235,Small residential,9977961,National Grid,40.57841411,-73.94026
11211,Small residential,9211590,National Grid,40.71158977,-73.95817675
11423,Commercial,660047,National Grid,40.7172223,-73.7671415
10306,Industrial,3660,National Grid,40.56602049,-74.11994567
11379,Large residential,659949,National Grid,40.71679767,-73.87933421
10301,Institutional,1244001,National Grid,40.62678551,-74.09611291
11217,Industrial,115795,National Grid,40.6823121,-73.97956719
10306,Small residential,13376088,National Grid,40.56602049,-74.11994567
11429,Residential,796,ConEd,40.70991312,-73.73864032
10036,Commercial,10571859,ConEd,40.75934683,-73.98986055
11427,Commercial,1165892,ConEd,40.72931057,-73.75067602
11421,Industrial,22617,National Grid,40.69176459,-73.85702229
10456,Residential,1999484,ConEd,40.83043668,-73.9077652
10280,Commercial,1396819,ConEd,40.70959451,-74.02022454
10305,Small residential,8586364,National Grid,40.59618469,-74.07507238
11364,Commercial,768785,ConEd,40.74592468,-73.75790276
11363,Residential,54273,ConEd,40.77239842,-73.74679789
11373,Commercial,1277032,ConEd,40.7387104,-73.87835116
10075,Residential,110074,ConEd,40.77293949,-73.95609016
10463,Large residential,219710,ConEd,40.88187196,-73.91120748
10007,Commercial,1220273,ConEd,40.71363052,-74.00913138
10305,Large residential,1136630,National Grid,40.59618469,-74.07507238
10020,Large residential,271824,ConEd,40.75949851,-73.9800744
11377,Commercial,3893626,National Grid,40.74519376,-73.90484714
11374,Small residential,3149947,National Grid,40.72646492,-73.86148085
10039,Residential,81485,ConEd,40.82668193,-73.93777091
11428,Large residential,172865,National Grid,40.72139696,-73.7419373
11363,Commercial,538595,ConEd,40.77239842,-73.74679789
10469,Large residential,18293,ConEd,40.8681818,-73.84656869
10001,Commercial,7191956,ConEd,40.75025902,-73.9968863
11226,Commercial,2807970,National Grid,40.646505,-73.9571901
11428,Residential,6282,ConEd,40.72139696,-73.7419373
11219,Small residential,13366615,National Grid,40.63277296,-73.99667681
11358,Commercial,2055,ConEd,40.76035097,-73.79632646
10466,Residential,891414,ConEd,40.89080973,-73.84600906
