Zip Code,Building type (service class),Consumption (therms),Utility/Data Source,Latitude,Longitude
11370,Commercial,1119225,National Grid,40.75935377,-73.891844
11354,Commercial,7628542,ConEd,40.76862022,-73.82719028
11233,Commercial,1223131,National Grid,40.67813044,-73.91977648
11378,Commercial,3345377,National Grid,40.7214531,-73.9085435
11106,Large residential,66963,ConEd,40.76169979,-73.93166325
10473,Residential,3609517,ConEd,40.81773147,-73.860537
10034,Commercial,1961050,ConEd,40.87061711,-73.92422326
10462,Commercial,3712204,ConEd,40.84225834,-73.85799663
11413,Industrial,387601,National Grid,40.66971118,-73.75087393
11421,Large residential,1299205,National Grid,40.69176459,-73.85702229
10456,Commercial,14583516,ConEd,40.83043668,-73.9077652
10451,Large residential,3433811,ConEd,40.82069641,-73.92384137
10458,Residential,1068746,ConEd,40.86260133,-73.88479002
11417,Small residential,6605848,National Grid,40.67636373,-73.84454276
10028,Commercial,2078,ConEd,40.77634498,-73.95296668
10472,Residential,827862,ConEd,40.82973043,-73.87013213
11416,Industrial,141055,National Grid,40.6845781,-73.84960167
11239,Commercial,487427,National Grid,40.64949608,-73.865525
10035,Residential,126399,ConEd,40.79381704,-73.9193175
10025,Large residential,3058952,ConEd,40.79685013,-73.96372581
10452,Commercial,8504273,ConEd,40.83772426,-73.92333221
10002,Residential,550055,ConEd,40.71612147,-73.98583147
11377,Commercial,358163,ConEd,40.74519376,-73.90484714
11435,Residential,6659,ConEd,40.70119265,-73.80979666
10301,Commercial,2358335,National Grid,40.62678551,-74.09611291
11102,Commercial,3509357,ConEd,40.77152402,-73.92643545
11203,Industrial,268262,National Grid,40.6497216,-73.93427609
10005,Residential,27868,ConEd,40.70612579,-74.00858469
10023,Residential,243744,ConEd,40.77453614,-73.97994336
11354,Residential,299334,ConEd,40.76862022,-73.82719028
10472,Commercial,5479605,ConEd,40.82973043,-73.87013213
11230,Industrial,101877,National Grid,40.62192951,-73.96551106
10464,Commercial,75,ConEd,40.8757091,-73.81229725
11236,Industrial,805099,National Grid,40.64002149,-73.90112194
11232,Institutional,1847474,National Grid,40.65451162,-74.00003393
11219,Industrial,3101780,National Grid,40.63277296,-73.99667681
11217,Commercial,2720173,National Grid,40.6823121,-73.97956719
10474,Commercial,2094768,ConEd,40.81088292,-73.88235636
11435,Commercial,2935798,National Grid,40.70119265,-73.80979666
11433,Institutional,1519465,National Grid,40.69810488,-73.78757403
11226,Institutional,994926,National Grid,40.646505,-73.9571901
11370,Industrial,37449,National Grid,40.75935377,-73.891844
10004,Commercial,1326154,ConEd,40.68882783,-74.01911251
11364,Residential,4453633,ConEd,40.74592468,-73.75790276
11224,Small residential,2671212,National Grid,40.57630466,-73.999532
10458,Commercial,4109461,ConEd,40.86260133,-73.88479002
10306,Commercial,1794789,National Grid,40.56602049,-74.11994567
10025,Residential,507504,ConEd,40.79685013,-73.96372581
11237,Large residential,4718001,National Grid,40.70409574,-73.92099423
11237,Commercial,2600827,National Grid,40.70409574,-73.92099423
11418,Institutional,726983,National Grid,40.69637041,-73.84031025
11428,Commercial,596996,National Grid,40.72139696,-73.7419373
11203,Small residential,13346866,National Grid,40.6497216,-73.93427609
10314,Small residential,19041165,National Grid,40.5964903,-74.16599112
11228,Institutional,278441,National Grid,40.61654071,-74.01327785
11220,Industrial,2234971,National Grid,40.64118493,-74.01676473
11235,Commercial,3818158,National Grid,40.57841411,-73.94026
10038,Commercial,4135128,ConEd,40.70935929,-74.00307186
10466,Large residential,1382332,ConEd,40.89080973,-73.84600906
11357,Commercial,2399589,ConEd,40.78628404,-73.81123206
10033,Residential,658126,ConEd,40.85621993,-73.945859
11370,Commercial,84349,ConEd,40.75935377,-73.891844
10459,Commercial,1859762,ConEd,40.82552622,-73.89313107
10080,Commercial,359,ConEd,40.714452,-74.015475
10461,Large residential,9651221,ConEd,40.84696059,-73.84063284
11427,Institutional,219049,National Grid,40.72931057,-73.75067602
11432,Small residential,5707516,National Grid,40.71311535,-73.792821
11222,Institutional,2368948,National Grid,40.72825312,-73.94715978
10314,Commercial,42747652,National Grid,40.5964903,-74.16599112
10013,Large residential,1137066,ConEd,40.72124219,-74.008889
11428,Institutional,196563,National Grid,40.72139696,-73.7419373
11355,Commercial,4323496,ConEd,40.7512998,-73.82147855
11208,Commercial,2729613,National Grid,40.67401318,-73.87206493
11220,Commercial,5007824,National Grid,40.64118493,-74.01676473
11103,Residential,2853904,ConEd,40.76286893,-73.91327186
10451,Residential,259959,ConEd,40.82069641,-73.92384137
10010,Commercial,3814933,ConEd,40.73914078,-73.98289846
11377,Industrial,705930,National Grid,40.74519376,-73.90484714
11372,Institutional,367432,National Grid,40.75163074,-73.88361255
11207,Small residential,12107357,National Grid,40.67080243,-73.89384115
10463,Residential,507053,ConEd,40.88187196,-73.91120748
10014,Commercial,17212,ConEd,40.73358645,-74.0101996
11366,Commercial,636236,ConEd,40.72816441,-73.79226817
11214,Commercial,3050502,National Grid,40.60401181,-74.000969
11434,Institutional,2215716,National Grid,40.67694526,-73.7753069
11411,Large residential,45368,National Grid,40.69429334,-73.73568329
11366,Small residential,6521,National Grid,40.72816441,-73.79226817
10304,Large residential,3415047,National Grid,40.59122944,-74.111328
11423,Institutional,508795,National Grid,40.7172223,-73.7671415
11222,Commercial,3484625,National Grid,40.72825312,-73.94715978
11206,Large residential,22360022,National Grid,40.70191202,-73.9423792
10460,Commercial,7936792,ConEd,40.84309035,-73.87860283
11239,Industrial,11771,National Grid,40.64949608,-73.865525
10028,Commercial,4496346,ConEd,40.77634498,-73.95296668
11434,Industrial,284067,National Grid,40.67694526,-73.7753069
11430,Small residential,9195,National Grid,40.64722933,-73.78637495
10065,Large residential,10486338,ConEd,40.76430121,-73.96303994
10023,Commercial,10588895,ConEd,40.77453614,-73.97994336
10302,Commercial,1185147,National Grid,40.63083331,-74.1377343
11415,Residential,1303,ConEd,40.70828608,-73.82855612
11102,Large residential,79519,ConEd,40.77152402,-73.92643545
10028,Large residential,420403,ConEd,40.77634498,-73.95296668
11373,Commercial,3054489,National Grid,40.7387104,-73.87835116
11367,Residential,2905831,ConEd,40.73032309,-73.82610631
11040,Commercial,42315,ConEd,40.74529996,-73.67963193
11355,Commercial,5137322,ConEd,40.7512998,-73.82147855
11420,Large residential,108873,National Grid,40.67334524,-73.81770717
10018,Residential,476865,ConEd,40.75684077,-73.9966915
11211,Residential,1277032,ConEd,40.71158977,-73.95817675
11370,Residential,24585,ConEd,40.75935377,-73.891844
11359,Commercial,128,ConEd,40.79159247,-73.77693837
11355,Large residential,2632163,ConEd,40.7512998,-73.82147855
11692,Commercial,777179,National Grid,40.59313389,-73.79540208
11213,Industrial,24515,National Grid,40.67122517,-73.93644337
11208,Institutional,2265878,National Grid,40.67401318,-73.87206493
10011,Residential,4029369,ConEd,40.74471527,-74.0046
10014,Residential,213234,ConEd,40.73358645,-74.0101996
10011,Commercial,4672054,ConEd,40.74471527,-74.0046
10028,Commercial,1684068,ConEd,40.77634498,-73.95296668
10010,Residential,61263,ConEd,40.73914078,-73.98289846
11230,Commercial,2318028,National Grid,40.62192951,-73.96551106
11203,Commercial,2692298,National Grid,40.6497216,-73.93427609
11224,Industrial,101615,National Grid,40.57630466,-73.999532
10469,Residential,623043,ConEd,40.8681818,-73.84656869
10467,Residential,1242679,ConEd,40.87704791,-73.8715325
11004,Large residential,3975637,ConEd,40.74323783,-73.712015
11242,Commercial,147434,National Grid,40.69315,-73.991029
11104,Commercial,1377109,ConEd,40.74489337,-73.92054135
10030,Commercial,879734,ConEd,40.81843518,-73.9427653
11411,Commercial,262173,National Grid,40.69429334,-73.73568329
10006,Residential,2076,ConEd,40.70825614,-74.01355357
10021,Residential,185761,ConEd,40.76920533,-73.95918394
11225,Large residential,12401180,National Grid,40.66317006,-73.95370111
11209,Industrial,29677,National Grid,40.6233871,-74.03065295
10308,Industrial,4178,National Grid,40.5529353,-74.15130276
11412,Small residential,9127477,National Grid,40.69812712,-73.7592352
10025,Commercial,2954498,ConEd,40.79685013,-73.96372581
11366,Commercial,4025,ConEd,40.72816441,-73.79226817
11371,Commercial,1381802,National Grid,40.77556737,-73.8708655
10028,Residential,238163,ConEd,40.77634498,-73.95296668
11433,Industrial,2449515,National Grid,40.69810488,-73.78757403
10014,Large residential,182728,ConEd,40.73358645,-74.0101996
10453,Residential,785354,ConEd,40.85278684,-73.91342678
10021,Commercial,3187154,ConEd,40.76920533,-73.95918394
11220,Small residential,10755271,National Grid,40.64118493,-74.01676473
11366,Residential,2205608,ConEd,40.72816441,-73.79226817
10036,Residential,1350797,ConEd,40.75934683,-73.98986055
10012,Residential,2706972,ConEd,40.72553802,-73.99789641
10472,Large residential,17374,ConEd,40.82973043,-73.87013213
11366,Commercial,1151855,ConEd,40.72816441,-73.79226817
10311,Institutional,18255,National Grid,40.607541,-74.171059
11208,Industrial,1481393,National Grid,40.67401318,-73.87206493
11211,Commercial,4822516,National Grid,40.71158977,-73.95817675
11204,Industrial,162329,National Grid,40.61905585,-73.9847986
10037,Commercial,590552,ConEd,40.81329776,-73.93728253
11439,Commercial,3739,ConEd,40.7219248,-73.79455513
10038,Large residential,217207,ConEd,40.70935929,-74.00307186
10310,Large residential,1270998,National Grid,40.632789,-74.11645861
10069,Commercial,791481,ConEd,40.778254,-73.988542
10040,Large residential,186062,ConEd,40.85809553,-73.92925549
10468,Commercial,7690,ConEd,40.869693,-73.89892699
11103,Residential,454090,ConEd,40.76286893,-73.91327186
11225,Commercial,1296975,National Grid,40.66317006,-73.95370111
11215,Industrial,1488168,National Grid,40.66555725,-73.97968154
11223,Industrial,159925,National Grid,40.59693962,-73.97331147
10025,Commercial,21864,ConEd,40.79685013,-73.96372581
11695,Small residential,6691,National Grid,40.597608,-73.820967
10460,Residential,1686599,ConEd,40.84309035,-73.87860283
11203,Large residential,5413010,National Grid,40.6497216,-73.93427609
11216,Small residential,6780596,National Grid,40.68075867,-73.94926775
11374,Industrial,3834,National Grid,40.72646492,-73.86148085
10013,Residential,4372985,ConEd,40.72124219,-74.008889
10009,Commercial,2008255,ConEd,40.72664936,-73.97911149
11379,Commercial,1248717,National Grid,40.71679767,-73.87933421
11415,Large residential,3021274,National Grid,40.70828608,-73.82855612
11414,Small residential,6266456,National Grid,40.65817023,-73.84496264
11208,Large residential,17908171,National Grid,40.67401318,-73.87206493
10002,Large residential,115301,ConEd,40.71612147,-73.98583147
10462,Large residential,8264125,ConEd,40.84225834,-73.85799663
10031,Residential,1748720,ConEd,40.82495421,-73.95012444
11414,Large residential,2790928,National Grid,40.65817023,-73.84496264
10022,Residential,122395,ConEd,40.75863022,-73.96809182
11415,Small residential,1700526,National Grid,40.70828608,-73.82855612
10304,Industrial,272952,National Grid,40.59122944,-74.111328
10022,Commercial,7987371,ConEd,40.75863022,-73.96809182
11429,Large residential,47307,National Grid,40.70991312,-73.73864032
11435,Commercial,160509,ConEd,40.70119265,-73.80979666
10462,Residential,2849924,ConEd,40.84225834,-73.85799663
10468,Residential,998166,ConEd,40.869693,-73.89892699
11354,Large residential,2040792,ConEd,40.76862022,-73.82719028
11417,Commercial,777807,National Grid,40.67636373,-73.84454276
10467,Residential,2670008,ConEd,40.87704791,-73.8715325
11432,Commercial,2979507,National Grid,40.71311535,-73.792821
11420,Institutional,2004714,National Grid,40.67334524,-73.81770717
11221,Institutional,1174968,National Grid,40.69128804,-73.92761793
10455,Commercial,1642415,ConEd,40.81353575,-73.90535525
11228,Commercial,881038,National Grid,40.61654071,-74.01327785
11102,Residential,311766,ConEd,40.77152402,-73.92643545
11433,Commercial,26725,ConEd,40.69810488,-73.78757403
11233,Industrial,88898,National Grid,40.67813044,-73.91977648
10458,Residential,1321890,ConEd,40.86260133,-73.88479002
10463,Commercial,2174885,ConEd,40.88187196,-73.91120748
11356,Commercial,2433066,ConEd,40.7849281,-73.8418107
11231,Commercial,3743947,National Grid,40.67755431,-74.0046767
11423,Commercial,71779,ConEd,40.7172223,-73.7671415
11101,Large residential,11435850,ConEd,40.74570245,-73.93866903
11412,Industrial,164379,National Grid,40.69812712,-73.7592352
11354,Residential,4101823,ConEd,40.76862022,-73.82719028
10010,Residential,1026844,ConEd,40.73914078,-73.98289846
11357,Small residential,589,National Grid,40.78628404,-73.81123206
11204,Large residential,4614998,National Grid,40.61905585,-73.9847986
10038,Residential,430776,ConEd,40.70935929,-74.00307186
10462,Commercial,2619354,ConEd,40.84225834,-73.85799663
11220,Institutional,625816,National Grid,40.64118493,-74.01676473
11232,Small residential,2619957,National Grid,40.65451162,-74.00003393
11412,Institutional,1496825,National Grid,40.69812712,-73.7592352
10468,Large residential,2590340,ConEd,40.869693,-73.89892699
11364,Small residential,1463,National Grid,40.74592468,-73.75790276
10003,Large residential,495206,ConEd,40.73194395,-73.98887215
10311,Commercial,55290,National Grid,40.607541,-74.171059
11419,Institutional,150090,National Grid,40.68871379,-73.82288833
10453,Commercial,1766420,ConEd,40.85278684,-73.91342678
10307,Industrial,1870,National Grid,40.50800453,-74.24211428
10035,Residential,1478698,ConEd,40.79381704,-73.9193175
10019,Commercial,5022063,ConEd,40.76761165,-73.9918055
11375,Commercial,2724624,National Grid,40.72070726,-73.8462843
10017,Residential,23970,ConEd,40.75245653,-73.97297648
11208,Small residential,12293703,National Grid,40.67401318,-73.87206493
11369,Small residential,5658707,National Grid,40.76341327,-73.8723789
10458,Commercial,2860723,ConEd,40.86260133,-73.88479002
11231,Large residential,8892620,National Grid,40.67755431,-74.0046767
11201,Institutional,4499131,National Grid,40.69467826,-73.98992087
10461,Commercial,313,ConEd,40.84696059,-73.84063284
11213,Small residential,5855036,National Grid,40.67122517,-73.93644337
11371,Industrial,1707,National Grid,40.77556737,-73.8708655
11429,Institutional,1416594,National Grid,40.70991312,-73.73864032
11435,Industrial,85671,National Grid,40.70119265,-73.80979666
10009,Commercial,8554651,ConEd,40.72664936,-73.97911149
10035,Commercial,6691182,ConEd,40.79381704,-73.9193175
10470,Commercial,878692,ConEd,40.90012797,-73.87122775
10454,Commercial,9709459,ConEd,40.80584693,-73.91628505
11691,Small residential,7887704,National Grid,40.60061434,-73.76256777
10040,Residential,515640,ConEd,40.85809553,-73.92925549
11218,Small residential,9322895,National Grid,40.64322701,-73.97644862
10312,Small residential,16356892,National Grid,40.54295598,-74.18037682
10468,Commercial,4380584,ConEd,40.869693,-73.89892699
10310,Commercial,1837495,National Grid,40.632789,-74.11645861
11427,Small residential,2286768,National Grid,40.72931057,-73.75067602
11418,Small residential,6229973,National Grid,40.69637041,-73.84031025
10018,Large residential,526802,ConEd,40.75684077,-73.9966915
11216,Commercial,1795793,National Grid,40.68075867,-73.94926775
11354,Commercial,7429045,ConEd,40.76862022,-73.82719028
10012,Commercial,6584,ConEd,40.72553802,-73.99789641
11429,Small residential,5893890,National Grid,40.70991312,-73.73864032
10029,Commercial,1277032,ConEd,40.79161072,-73.94403228
10456,Commercial,2957732,ConEd,40.83043668,-73.9077652
11373,Industrial,159820,National Grid,40.7387104,-73.87835116
10454,Residential,1001876,ConEd,40.80584693,-73.91628505
10462,Residential,700617,ConEd,40.84225834,-73.85799663
10039,Commercial,1277032,ConEd,40.82668193,-73.93777091
11229,Industrial,141426,National Grid,40.60123351,-73.94436854
10035,Large residential,1531490,ConEd,40.79381704,-73.9193175
10039,Commercial,7605045,ConEd,40.82668193,-73.93777091
10004,Large residential,5877,ConEd,40.68882783,-74.01911251
11368,Industrial,508926,National Grid,40.74967822,-73.85304069
11234,Industrial,657191,National Grid,40.61636867,-73.92773225
11430,Institutional,2611959,National Grid,40.64722933,-73.78637495
10018,Commercial,3808435,ConEd,40.75684077,-73.9966915
11102,Residential,1941012,ConEd,40.77152402,-73.92643545
10471,Large residential,56954,ConEd,40.90199442,-73.9036265
11362,Commercial,647115,ConEd,40.75907422,-73.73430018
11373,Small residential,10736218,National Grid,40.7387104,-73.87835116
10011,Commercial,1970,ConEd,40.74471527,-74.0046
10029,Commercial,14817079,ConEd,40.79161072,-73.94403228
11378,Small residential,7366479,National Grid,40.7214531,-73.9085435
11210,Large residential,6310191,National Grid,40.62772226,-73.94653792
11232,Large residential,2048639,National Grid,40.65451162,-74.00003393
11356,Large residential,11747,ConEd,40.7849281,-73.8418107
11217,Institutional,769153,National Grid,40.6823121,-73.97956719
11373,Large residential,9562956,National Grid,40.7387104,-73.87835116
10475,Residential,359517,ConEd,40.87414234,-73.82706857
11235,Industrial,44596,National Grid,40.57841411,-73.94026
11378,Institutional,3127131,National Grid,40.7214531,-73.9085435
11225,Industrial,567743,National Grid,40.66317006,-73.95370111
10020,Commercial,263276,ConEd,40.75949851,-73.9800744
11379,Institutional,337862,National Grid,40.71679767,-73.87933421
10305,Industrial,1040978,National Grid,40.59618469,-74.07507238
11436,Commercial,275889,National Grid,40.67571821,-73.79646501
10014,Commercial,3569148,ConEd,40.73358645,-74.0101996
10029,Residential,242271,ConEd,40.79161072,-73.94403228
10471,Commercial,1183226,ConEd,40.90199442,-73.9036265
10032,Residential,717065,ConEd,40.83693035,-73.94917852
11211,Large residential,12471511,National Grid,40.71158977,-73.95817675
10303,Industrial,27422,National Grid,40.63303231,-74.16834885
11106,Residential,350151,ConEd,40.76169979,-73.93166325
11423,Large residential,1922380,National Grid,40.7172223,-73.7671415
11234,Large residential,5240504,National Grid,40.61636867,-73.92773225
10304,Small residential,8802763,National Grid,40.59122944,-74.111328
11213,Commercial,1724052,National Grid,40.67122517,-73.93644337
11354,Small residential,2080,National Grid,40.76862022,-73.82719028
11221,Small residential,10226769,National Grid,40.69128804,-73.92761793
10024,Commercial,5356180,ConEd,40.78362557,-73.966539
11105,Residential,403403,ConEd,40.78009207,-73.9096065
11226,Large residential,19482081,National Grid,40.646505,-73.9571901
10075,Commercial,1277032,ConEd,40.77293949,-73.95609016
11368,Commercial,4130867,National Grid,40.74967822,-73.85304069
11364,Large residential,1201058,ConEd,40.74592468,-73.75790276
11367,Residential,321417,ConEd,40.73032309,-73.82610631
10004,Residential,54549,ConEd,40.68882783,-74.01911251
10036,Commercial,7837223,ConEd,40.75934683,-73.98986055
11040,Commercial,1051227,ConEd,40.74529996,-73.67963193
11224,Commercial,2484705,National Grid,40.57630466,-73.999532
11201,Large residential,18973029,National Grid,40.69467826,-73.98992087
10308,Institutional,98774,National Grid,40.5529353,-74.15130276
11362,Residential,85444,ConEd,40.75907422,-73.73430018
11434,Small residential,10076855,National Grid,40.67694526,-73.7753069
11361,Large residential,446965,ConEd,40.76418885,-73.77232553
11360,Commercial,486382,ConEd,40.78070133,-73.78226734
11214,Small residential,12807919,National Grid,40.60401181,-74.000969
11413,Large residential,112283,National Grid,40.66971118,-73.75087393
11415,Institutional,580482,National Grid,40.70828608,-73.82855612
10005,Commercial,1419854,ConEd,40.70612579,-74.00858469
10024,Large residential,215638,ConEd,40.78362557,-73.966539
11413,Small residential,10114455,National Grid,40.66971118,-73.75087393
10469,Commercial,2237093,ConEd,40.8681818,-73.84656869
11372,Small residential,3273710,National Grid,40.75163074,-73.88361255
11694,Large residential,1573127,National Grid,40.57657831,-73.850777
11361,Residential,4283479,ConEd,40.76418885,-73.77232553
10069,Commercial,2123051,ConEd,40.778254,-73.988542
10019,Large residential,1239760,ConEd,40.76761165,-73.9918055
11365,Large residential,4277,National Grid,40.73987184,-73.79462154
10475,Large residential,16694182,ConEd,40.87414234,-73.82706857
10075,Large residential,73358,ConEd,40.77293949,-73.95609016
10312,Large residential,3034,National Grid,40.54295598,-74.18037682
10309,Commercial,1195656,National Grid,40.53039312,-74.21893861
11377,Large residential,91130,ConEd,40.74519376,-73.90484714
11229,Commercial,1993920,National Grid,40.60123351,-73.94436854
11365,Commercial,963,National Grid,40.73987184,-73.79462154
11232,Industrial,13048581,National Grid,40.65451162,-74.00003393
10009,Large residential,44314,ConEd,40.72664936,-73.97911149
11241,Small residential,947,National Grid,40.693289,-73.990627
11004,Residential,1358168,ConEd,40.74323783,-73.712015
10023,Residential,3911782,ConEd,40.77453614,-73.97994336
11241,Commercial,184,National Grid,40.693289,-73.990627
11385,Institutional,1245917,National Grid,40.70122489,-73.88334858
11365,Residential,4511563,ConEd,40.73987184,-73.79462154
11212,Industrial,3623309,National Grid,40.66279717,-73.91298489
11234,Small residential,22219097,National Grid,40.61636867,-73.92773225
10452,Residential,786394,ConEd,40.83772426,-73.92333221
11105,Residential,3098073,ConEd,40.78009207,-73.9096065
11237,Small residential,3804248,National Grid,40.70409574,-73.92099423
11419,Small residential,8591091,National Grid,40.68871379,-73.82288833
10306,Large residential,1744540,National Grid,40.56602049,-74.11994567
11436,Institutional,220564,National Grid,40.67571821,-73.79646501
10025,Residential,3408769,ConEd,40.79685013,-73.96372581
11365,Commercial,5329748,ConEd,40.73987184,-73.79462154
10455,Commercial,4937392,ConEd,40.81353575,-73.90535525
11436,Small residential,4012282,National Grid,40.67571821,-73.79646501
11377,Commercial,311084,ConEd,40.74519376,-73.90484714
10473,Commercial,8638721,ConEd,40.81773147,-73.860537
10309,Institutional,579303,National Grid,40.53039312,-74.21893861
10033,Commercial,3904,ConEd,40.85621993,-73.945859
11435,Residential,427854,ConEd,40.70119265,-73.80979666
11366,Residential,154642,ConEd,40.72816441,-73.79226817
10033,Large residential,90934,ConEd,40.85621993,-73.945859
11432,Large residential,6817221,National Grid,40.71311535,-73.792821
10021,Large residential,180776,ConEd,40.76920533,-73.95918394
11418,Industrial,1146988,National Grid,40.69637041,-73.84031025
10128,Large residential,220365,ConEd,40.78177,-73.95062815
10032,Commercial,1952524,ConEd,40.83693035,-73.94917852
11374,Large residential,9176417,National Grid,40.72646492,-73.86148085
10040,Residential,445116,ConEd,40.85809553,-73.92925549
10307,Small residential,3667832,National Grid,40.50800453,-74.24211428
11210,Small residential,11755834,National Grid,40.62772226,-73.94653792
11375,Small residential,7403805,National Grid,40.72070726,-73.8462843
11001,Residential,53094,ConEd,40.72139,-73.70739693
10003,Commercial,8855716,ConEd,40.73194395,-73.98887215
11428,Commercial,19477,ConEd,40.72139696,-73.7419373
10019,Residential,124706,ConEd,40.76761165,-73.9918055
10456,Large residential,161363,ConEd,40.83043668,-73.9077652
10282,Commercial,508119,ConEd,40.71961456,-74.01464928
11223,Large residential,7349231,National Grid,40.59693962,-73.97331147
11427,Residential,77967,ConEd,40.72931057,-73.75067602
11104,Large residential,226694,ConEd,40.74489337,-73.92054135
11212,Large residential,25048890,National Grid,40.66279717,-73.91298489
10304,Institutional,606346,National Grid,40.59122944,-74.111328
10303,Institutional,163704,National Grid,40.63303231,-74.16834885
11001,Commercial,79704,ConEd,40.72139,-73.70739693
10075,Commercial,1145955,ConEd,40.77293949,-73.95609016
10455,Large residential,51911,ConEd,40.81353575,-73.90535525
11206,Industrial,593089,National Grid,40.70191202,-73.9423792
11101,Residential,1144993,ConEd,40.74570245,-73.93866903
11233,Institutional,1165816,National Grid,40.67813044,-73.91977648
11215,Institutional,675011,National Grid,40.66555725,-73.97968154
10471,Commercial,6866,ConEd,40.90199442,-73.9036265
11414,Institutional,116362,National Grid,40.65817023,-73.84496264
11236,Large residential,11489554,National Grid,40.64002149,-73.90112194
11416,Small residential,5019507,National Grid,40.6845781,-73.84960167
11377,Small residential,7978253,National Grid,40.74519376,-73.90484714
11210,Commercial,1224750,National Grid,40.62772226,-73.94653792
11229,Institutional,447194,National Grid,40.60123351,-73.94436854
11207,Large residential,18203649,National Grid,40.67080243,-73.89384115
11102,Commercial,1778170,ConEd,40.77152402,-73.92643545
11219,Institutional,1076397,National Grid,40.63277296,-73.99667681
11411,Small residential,5417452,National Grid,40.69429334,-73.73568329
10305,Commercial,1902540,National Grid,40.59618469,-74.07507238
10013,Commercial,7261765,ConEd,40.72124219,-74.008889
10309,Large residential,13184,National Grid,40.53039312,-74.21893861
11377,Large residential,9466158,National Grid,40.74519376,-73.90484714
10457,Residential,779330,ConEd,40.84579837,-73.89832419
11427,Residential,1373653,ConEd,40.72931057,-73.75067602
10005,Commercial,382037,ConEd,40.70612579,-74.00858469
11369,Industrial,8824,National Grid,40.76341327,-73.8723789
11204,Institutional,892032,National Grid,40.61905585,-73.9847986
10474,Residential,558002,ConEd,40.81088292,-73.88235636
10470,Residential,1431048,ConEd,40.90012797,-73.87122775
11421,Commercial,743600,National Grid,40.69176459,-73.85702229
10301,Industrial,42909,National Grid,40.62678551,-74.09611291
11364,Commercial,3008945,ConEd,40.74592468,-73.75790276
10011,Residential,192654,ConEd,40.74471527,-74.0046
11369,Large residential,1688743,National Grid,40.76341327,-73.8723789
10037,Large residential,4228025,ConEd,40.81329776,-73.93728253
10024,Commercial,1822842,ConEd,40.78362557,-73.966539
10005,Residential,265,ConEd,40.70612579,-74.00858469
11422,Industrial,13360,National Grid,40.66161349,-73.73605173
10468,Commercial,3511905,ConEd,40.869693,-73.89892699
11411,Institutional,316866,National Grid,40.69429334,-73.73568329
10031,Commercial,1901756,ConEd,40.82495421,-73.95012444
11238,Small residential,5094432,National Grid,40.67886241,-73.96382047
11434,Residential,1277032,ConEd,40.67694526,-73.7753069
11243,Large residential,201530,National Grid,40.68503,-73.978075
11236,Institutional,839695,National Grid,40.64002149,-73.90112194
10285,Commercial,41397,ConEd,40.711871,-74.014403
11204,Commercial,1607460,National Grid,40.61905585,-73.9847986
10302,Industrial,6464,National Grid,40.63083331,-74.1377343
10452,Large residential,93786,ConEd,40.83772426,-73.92333221
10282,Residential,33268,ConEd,40.71961456,-74.01464928
11004,Residential,132722,ConEd,40.74323783,-73.712015
10018,Commercial,2082396,ConEd,40.75684077,-73.9966915
11434,Commercial,1277032,ConEd,40.67694526,-73.7753069
10026,Residential,148829,ConEd,40.80305812,-73.95334278
10465,Commercial,3489361,ConEd,40.82762807,-73.82241314
10457,Large residential,182574,ConEd,40.84579837,-73.89832419
10303,Large residential,1519719,National Grid,40.63303231,-74.16834885
11695,Commercial,29091,National Grid,40.597608,-73.820967
11414,Industrial,4334,National Grid,40.65817023,-73.84496264
11218,Institutional,342884,National Grid,40.64322701,-73.97644862
11228,Small residential,9926950,National Grid,40.61654071,-74.01327785
10017,Commercial,3708661,ConEd,40.75245653,-73.97297648
11373,Institutional,2030783,National Grid,40.7387104,-73.87835116
11415,Commercial,462,ConEd,40.70828608,-73.82855612
10465,Residential,315919,ConEd,40.82762807,-73.82241314
10016,Residential,111236,ConEd,40.74524297,-73.97823299
10128,Commercial,2051345,ConEd,40.78177,-73.95062815
11416,Institutional,277779,National Grid,40.6845781,-73.84960167
10454,Large residential,1277032,ConEd,40.80584693,-73.91628505
10464,Commercial,312764,ConEd,40.8757091,-73.81229725
11432,Commercial,1277032,ConEd,40.71311535,-73.792821
10016,Residential,1501042,ConEd,40.74524297,-73.97823299
11362,Commercial,2594439,ConEd,40.75907422,-73.73430018
10466,Commercial,6931173,ConEd,40.89080973,-73.84600906
10309,Industrial,1230604,National Grid,40.53039312,-74.21893861
10128,Residential,2367827,ConEd,40.78177,-73.95062815
11207,Institutional,3278246,National Grid,40.67080243,-73.89384115
10460,Residential,469613,ConEd,40.84309035,-73.87860283
11233,Small residential,8291426,National Grid,40.67813044,-73.91977648
11692,Large residential,983881,National Grid,40.59313389,-73.79540208
10307,Large residential,21125,National Grid,40.50800453,-74.24211428
11106,Commercial,4841650,ConEd,40.76169979,-73.93166325
11362,Small residential,336,National Grid,40.75907422,-73.73430018
10473,Large residential,13657,ConEd,40.81773147,-73.860537
10469,Residential,7945664,ConEd,40.8681818,-73.84656869
11691,Large residential,7229588,National Grid,40.60061434,-73.76256777
11231,Industrial,352339,National Grid,40.67755431,-74.0046767
10028,Residential,1619890,ConEd,40.77634498,-73.95296668
10453,Commercial,7851638,ConEd,40.85278684,-73.91342678
11216,Large residential,6405467,National Grid,40.68075867,-73.94926775
11219,Large residential,4862069,National Grid,40.63277296,-73.99667681
